Time_submitted;Avaliacao_Media;;;;;;;;;;;;
2022_04;2,84;;;;;;;;;;;;
2022_03;3,05;;;;;;;;;;;;
2022_01;3,1;;;;;;;;;;;;
2022_02;3,23;;;;;;;;;;;;
2022_07;3,27;;;;;;;;;;;;
2022_05;3,3;;;;;;;;;;;;
2022_06;3,4;;;;;;;;;;;;
